Quarterly,C_P_I,Goods
2021Q2,101.6, ALL ITEMS
2021Q3,102.2, ALL ITEMS
2021Q4,103.8, ALL ITEMS
2022Q1,105.5, ALL ITEMS
2022Q2,107.6, ALL ITEMS
2022Q3,109.7, ALL ITEMS
2022Q4,110.7, ALL ITEMS
2023Q1,112, ALL ITEMS
2023Q2,113.1, ALL ITEMS
2021Q2,104,    Food excl Food Serving Services
2021Q3,104.7,    Food excl Food Serving Services
2021Q4,105.6,    Food excl Food Serving Services
2022Q1,107,    Food excl Food Serving Services
2022Q2,109,    Food excl Food Serving Services
2022Q3,111.4,    Food excl Food Serving Services
2022Q4,112.9,    Food excl Food Serving Services
2023Q1,114.9,    Food excl Food Serving Services
2023Q2,115.6,    Food excl Food Serving Services
2021Q2,102.5,    Food Serving Services
2021Q3,102.9,    Food Serving Services
2021Q4,103.4,    Food Serving Services
2022Q1,104.8,    Food Serving Services
2022Q2,107.2,    Food Serving Services
2022Q3,109.6,    Food Serving Services
2022Q4,111.2,    Food Serving Services
2023Q1,113.5,    Food Serving Services
2023Q2,114.6,    Food Serving Services
2021Q2,90.8,  Clothing & Footwear
2021Q3,89.3,  Clothing & Footwear
2021Q4,89.6,  Clothing & Footwear
2022Q1,90.4,  Clothing & Footwear
2022Q2,93.4,  Clothing & Footwear
2022Q3,95.6,  Clothing & Footwear
2022Q4,94.3,  Clothing & Footwear
2023Q1,96.5,  Clothing & Footwear
2023Q2,97.6,  Clothing & Footwear
2021Q2,100.3,  Housing & Utilities
2021Q3,101.4,  Housing & Utilities
2021Q4,102.7,  Housing & Utilities
2022Q1,104.2,  Housing & Utilities
2022Q2,105.4,  Housing & Utilities
2022Q3,107.5,  Housing & Utilities
2022Q4,108.5,  Housing & Utilities
2023Q1,109.7,  Housing & Utilities
2023Q2,110.1,  Housing & Utilities
2021Q2,101.5,  Household Durables & Services
2021Q3,102,  Household Durables & Services
2021Q4,102.3,  Household Durables & Services
2022Q1,102.9,  Household Durables & Services
2022Q2,103.6,  Household Durables & Services
2022Q3,104.2,  Household Durables & Services
2022Q4,104.6,  Household Durables & Services
2023Q1,105.6,  Household Durables & Services
2023Q2,105.5,  Household Durables & Services
2021Q2,99.4,  Health Care
2021Q3,100,  Health Care
2021Q4,100,  Health Care
2022Q1,100.4,  Health Care
2022Q2,101,  Health Care
2022Q3,102.8,  Health Care
2022Q4,102.8,  Health Care
2023Q1,104.4,  Health Care
2023Q2,105.7,  Health Care
2021Q2,107.2,  Transport
2021Q3,107.8,  Transport
2021Q4,113.7,  Transport
2022Q1,119.5,  Transport
2022Q2,125,  Transport
2022Q3,128.6,  Transport
2022Q4,130,  Transport
2023Q1,130.5,  Transport
2023Q2,133,  Transport
2021Q2,99.8,  Communication
2021Q3,99.4,  Communication
2021Q4,99.7,  Communication
2022Q1,98.9,  Communication
2022Q2,98.9,  Communication
2022Q3,98.6,  Communication
2022Q4,99.2,  Communication
2023Q1,100.9,  Communication
2023Q2,101.6,  Communication
2021Q2,98.7,  Recreation & Culture 
2021Q3,99.4,  Recreation & Culture 
2021Q4,100.3,  Recreation & Culture 
2022Q1,99.8,  Recreation & Culture 
2022Q2,102.4,  Recreation & Culture 
2022Q3,105.1,  Recreation & Culture 
2022Q4,106.6,  Recreation & Culture 
2023Q1,106.6,  Recreation & Culture 
2023Q2,109.1,  Education 
2021Q2,100.3,  Education 
2021Q3,100.7,  Education 
2021Q4,101.4,  Education 
2022Q1,102.1,  Education 
2022Q2,102.5,  Education 
2022Q3,102.9,  Education 
2022Q4,103.5,  Education 
2023Q1,105.1,  Education 
2023Q2,105.3,  Education 
2021Q2,98.4,  Miscellaneous Goods & Services
2021Q3,98.1,  Miscellaneous Goods & Services
2021Q4,98.2,  Miscellaneous Goods & Services
2022Q1,98.6,  Miscellaneous Goods & Services
2022Q2,98.5,  Miscellaneous Goods & Services
2022Q3,98.6,  Miscellaneous Goods & Services
2022Q4,99.3,  Miscellaneous Goods & Services
2023Q1,101.1,  Miscellaneous Goods & Services
2023Q2,101.8,  Miscellaneous Goods & Services
